,mn,lossValue,Method,replicate,Time,Result
0,m25_n25,0.1,SphyR,s1,0.012,valid
1,m25_n25,0.2,SphyR,s1,0.008,valid
2,m25_n25,0.4,SphyR,s1,0.011,valid
3,m25_n25,0.1,SphyR,s2,0.009,valid
4,m25_n25,0.2,SphyR,s2,0.014,valid
5,m25_n25,0.4,SphyR,s2,0.014,valid
6,m25_n25,0.1,SphyR,s3,0.014,valid
7,m25_n25,0.2,SphyR,s3,0.014,valid
8,m25_n25,0.4,SphyR,s3,0.01,valid
9,m25_n25,0.1,SphyR,s4,0.012,valid
10,m25_n25,0.2,SphyR,s4,0.013,valid
11,m25_n25,0.4,SphyR,s4,0.012,valid
12,m25_n25,0.1,SphyR,s5,0.009,valid
13,m25_n25,0.2,SphyR,s5,0.01,valid
14,m25_n25,0.4,SphyR,s5,0.012,valid
15,m25_n25,0.1,SphyR,s6,0.01,valid
16,m25_n25,0.2,SphyR,s6,0.014,valid
17,m25_n25,0.4,SphyR,s6,0.01,valid
18,m25_n25,0.1,SphyR,s7,0.013,valid
19,m25_n25,0.2,SphyR,s7,0.012,valid
20,m25_n25,0.4,SphyR,s7,0.013,valid
21,m25_n25,0.1,SphyR,s8,0.009,valid
22,m25_n25,0.2,SphyR,s8,0.009,valid
23,m25_n25,0.4,SphyR,s8,0.01,valid
24,m25_n25,0.1,SphyR,s9,0.01,valid
25,m25_n25,0.2,SphyR,s9,0.01,valid
26,m25_n25,0.4,SphyR,s9,0.01,valid
27,m25_n25,0.1,SphyR,s10,0.01,valid
28,m25_n25,0.2,SphyR,s10,0.01,valid
29,m25_n25,0.4,SphyR,s10,0.012,valid
30,m25_n25,0.1,SphyR,s11,0.01,valid
31,m25_n25,0.2,SphyR,s11,0.012,valid
32,m25_n25,0.4,SphyR,s11,0.013,valid
33,m25_n25,0.1,SphyR,s12,0.01,valid
34,m25_n25,0.2,SphyR,s12,0.01,valid
35,m25_n25,0.4,SphyR,s12,0.01,valid
36,m25_n25,0.1,SphyR,s13,0.014,valid
37,m25_n25,0.2,SphyR,s13,0.014,valid
38,m25_n25,0.4,SphyR,s13,0.015,valid
39,m25_n25,0.1,SphyR,s14,0.009,valid
40,m25_n25,0.2,SphyR,s14,0.012,valid
41,m25_n25,0.4,SphyR,s14,0.012,valid
42,m25_n25,0.1,SphyR,s15,0.014,valid
43,m25_n25,0.2,SphyR,s15,0.013,valid
44,m25_n25,0.4,SphyR,s15,0.013,valid
45,m25_n25,0.1,SphyR,s16,0.009,valid
46,m25_n25,0.2,SphyR,s16,0.01,valid
47,m25_n25,0.4,SphyR,s16,0.01,valid
48,m25_n25,0.1,SphyR,s17,0.01,valid
49,m25_n25,0.2,SphyR,s17,0.011,valid
50,m25_n25,0.4,SphyR,s17,0.01,valid
51,m25_n25,0.1,SphyR,s18,0.014,valid
52,m25_n25,0.2,SphyR,s18,0.014,valid
53,m25_n25,0.4,SphyR,s18,0.013,valid
54,m25_n25,0.1,SphyR,s19,0.01,valid
55,m25_n25,0.2,SphyR,s19,0.012,valid
56,m25_n25,0.4,SphyR,s19,0.012,valid
57,m25_n25,0.1,SphyR,s20,0.01,valid
